person_id,first_name,last_name,date_of_birth,driver_license_number,driver_license_state,contact_email,contact_phone,mailing_address
20a3e4cd-d3d1-46c3-e887-1beb85a165ce,Maya,Alvarez,1973-04-13T00:00:00Z,D2962465,CA,user0@example.com,+13108432259,8624 Main St
7425c89c-bb3d-4a7c-b5fd-a3fd38c0744b,Liam,Rossi,1974-04-23T00:00:00Z,D9668100,CA,user1@example.com,+13108349503,1027 Main St
3d9b00f9-08b6-4eca-0ead-815c62a83f3d,Hugo,Patel,1964-07-09T00:00:00Z,D6579510,CA,user2@example.com,+13106079756,2255 Main St
4f3ef00f-fd55-4393-b15c-c71de4d3484d,Carlos,Silva,1977-08-23T00:00:00Z,D2625379,CA,user3@example.com,+13105119796,1348 Main St
1451310a-3eea-466c-0d96-bc7da35932a3,Hugo,Reyes,1962-06-07T00:00:00Z,D9178217,CA,user4@example.com,+13107562639,3432 Main St
bb6d1cb9-19aa-4552-e563-d1b8b56f26e8,Priya,Hassan,1968-10-11T00:00:00Z,D5998895,CA,user5@example.com,+13105373144,5010 Main St
79d58a38-3ce7-48c8-47d2-fbf871c3f13b,Robert,Patel,1972-11-15T00:00:00Z,D8809303,CA,user6@example.com,+13106115005,6331 Main St
3f5eccbc-1e42-49fb-ff00-3f6f27c75988,Zoe,Wong,1984-09-17T00:00:00Z,D5180708,CA,user7@example.com,+13104893748,8514 Main St
827a3399-8afa-447e-68e4-a6c70e7a0f4f,Liam,Lopez,1999-03-27T00:00:00Z,D9852801,CA,user8@example.com,+13103324495,5685 Main St
8f7354aa-0875-4c8b-329b-c0083f8133ca,Priya,Khan,1963-09-17T00:00:00Z,D9294630,CA,user9@example.com,+13103795052,5034 Main St
5d3982b8-0656-495a-9c7f-29253ec9eabd,Ethan,Hassan,1977-08-28T00:00:00Z,D2050242,CA,user10@example.com,+13103545740,8737 Main St
bbce74d2-b270-4b76-2afd-2c350d687c94,Hugo,Smith,1973-04-26T00:00:00Z,D6788606,CA,user11@example.com,+13104503871,3147 Main St
d1eae42b-c8d2-4732-6635-95f5c067cb30,Marcus,Khan,1964-03-26T00:00:00Z,D1843853,CA,user12@example.com,+13102412699,8601 Main St
fac2c16f-d8fd-4884-42d4-0df047369e42,Nina,Park,1973-04-18T00:00:00Z,D7221024,CA,user13@example.com,+13108894704,9459 Main St
